#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  30.8000000    1.5999504468e+01    1.5999504468e+01    1.9647297761e+01    1.5999737518e+01    1.5999737518e+01    1.2369547232e+01
  31.0000000    1.5999554484e+01    1.5999554484e+01    1.9646778039e+01    1.5999827112e+01    1.5999827112e+01    1.2369848668e+01
  31.2000000    1.5999594796e+01    1.5999594796e+01    1.9646289762e+01    1.5999907901e+01    1.5999907901e+01    1.2370160164e+01
  31.4000000    1.5999623520e+01    1.5999623520e+01    1.9645836239e+01    1.5999976464e+01    1.5999976464e+01    1.2370486237e+01
  31.6000000    1.5999639710e+01    1.5999639710e+01    1.9645419258e+01    1.6000030028e+01    1.6000030028e+01    1.2370829386e+01
  31.8000000    1.5999643342e+01    1.5999643342e+01    1.9645039036e+01    1.6000066569e+01    1.6000066569e+01    1.2371190154e+01
  32.0000000    1.5999635226e+01    1.5999635226e+01    1.9644694270e+01    1.6000084873e+01    1.6000084873e+01    1.2371567339e+01
  32.2000000    1.5999616852e+01    1.5999616852e+01    1.9644382271e+01    1.6000084571e+01    1.6000084571e+01    1.2371958339e+01
  32.4000000    1.5999590185e+01    1.5999590185e+01    1.9644099179e+01    1.6000066124e+01    1.6000066124e+01    1.2372359587e+01
  32.6000000    1.5999557426e+01    1.5999557426e+01    1.9643840232e+01    1.6000030783e+01    1.6000030783e+01    1.2372767025e+01
  32.8000000    1.5999520759e+01    1.5999520759e+01    1.9643600080e+01    1.5999980506e+01    1.5999980506e+01    1.2373176583e+01
  33.0000000    1.5999482116e+01    1.5999482116e+01    1.9643373104e+01    1.5999917849e+01    1.5999917849e+01    1.2373584600e+01
  33.2000000    1.5999442962e+01    1.5999442962e+01    1.9643153713e+01    1.5999845824e+01    1.5999845824e+01    1.2373988162e+01
  33.4000000    1.5999404133e+01    1.5999404133e+01    1.9642936615e+01    1.5999767739e+01    1.5999767739e+01    1.2374385317e+01
  33.6000000    1.5999365745e+01    1.5999365745e+01    1.9642717023e+01    1.5999687021e+01    1.5999687021e+01    1.2374775159e+01
  33.8000000    1.5999327162e+01    1.5999327162e+01    1.9642490791e+01    1.5999607037e+01    1.5999607037e+01    1.2375157771e+01
  34.0000000    1.5999287056e+01    1.5999287056e+01    1.9642254489e+01    1.5999530920e+01    1.5999530920e+01    1.2375534053e+01
  34.2000000    1.5999243526e+01    1.5999243526e+01    1.9642005405e+01    1.5999461409e+01    1.5999461409e+01    1.2375905439e+01
  34.4000000    1.5999194296e+01    1.5999194296e+01    1.9641741498e+01    1.5999400721e+01    1.5999400721e+01    1.2376273563e+01
  34.6000000    1.5999136954e+01    1.5999136954e+01    1.9641461311e+01    1.5999350455e+01    1.5999350455e+01    1.2376639889e+01
  34.8000000    1.5999069223e+01    1.5999069223e+01    1.9641163871e+01    1.5999311530e+01    1.5999311530e+01    1.2377005373e+01
  35.0000000    1.5998989238e+01    1.5998989238e+01    1.9640848599e+01    1.5999284181e+01    1.5999284181e+01    1.2377370177e+01
  35.2000000    1.5998895793e+01    1.5998895793e+01    1.9640515232e+01    1.5999267974e+01    1.5999267974e+01    1.2377733488e+01
  35.4000000    1.5998788552e+01    1.5998788552e+01    1.9640163790e+01    1.5999261882e+01    1.5999261882e+01    1.2378093450e+01
  35.6000000    1.5998668179e+01    1.5998668179e+01    1.9639794591e+01    1.5999264366e+01    1.5999264366e+01    1.2378447245e+01
  35.8000000    1.5998536380e+01    1.5998536380e+01    1.9639408303e+01    1.5999273497e+01    1.5999273497e+01    1.2378791301e+01
  36.0000000    1.5998395848e+01    1.5998395848e+01    1.9639006044e+01    1.5999287072e+01    1.5999287072e+01    1.2379121627e+01
  36.2000000    1.5998250111e+01    1.5998250111e+01    1.9638589496e+01    1.5999302737e+01    1.5999302737e+01    1.2379434237e+01
  36.4000000    1.5998103281e+01    1.5998103281e+01    1.9638161037e+01    1.5999318111e+01    1.5999318111e+01    1.2379725643e+01
  36.6000000    1.5997959741e+01    1.5997959741e+01    1.9637723845e+01    1.5999330880e+01    1.5999330880e+01    1.2379993341e+01
  36.8000000    1.5997823786e+01    1.5997823786e+01    1.9637281965e+01    1.5999338896e+01    1.5999338896e+01    1.2380236262e+01
  37.0000000    1.5997699242e+01    1.5997699242e+01    1.9636840311e+01    1.5999340245e+01    1.5999340245e+01    1.2380455130e+01
  37.2000000    1.5997589126e+01    1.5997589126e+01    1.9636404587e+01    1.5999333304e+01    1.5999333304e+01    1.2380652676e+01
  37.4000000    1.5997495346e+01    1.5997495346e+01    1.9635981114e+01    1.5999316785e+01    1.5999316785e+01    1.2380833674e+01
  37.6000000    1.5997418498e+01    1.5997418498e+01    1.9635576570e+01    1.5999289765e+01    1.5999289765e+01    1.2381004788e+01
  37.8000000    1.5997357769e+01    1.5997357769e+01    1.9635197641e+01    1.5999251700e+01    1.5999251700e+01    1.2381174217e+01
  38.0000000    1.5997310959e+01    1.5997310959e+01    1.9634850611e+01    1.5999202432e+01    1.5999202432e+01    1.2381351164e+01
  38.2000000    1.5997274632e+01    1.5997274632e+01    1.9634540910e+01    1.5999142189e+01    1.5999142189e+01    1.2381545163e+01
  38.4000000    1.5997244365e+01    1.5997244365e+01    1.9634272674e+01    1.5999071571e+01    1.5999071571e+01    1.2381765323e+01
  38.6000000    1.5997215097e+01    1.5997215097e+01    1.9634048338e+01    1.5998991531e+01    1.5998991531e+01    1.2382019557e+01
  38.8000000    1.5997181522e+01    1.5997181522e+01    1.9633868308e+01    1.5998903349e+01    1.5998903349e+01    1.2382313862e+01
  39.0000000    1.5997138506e+01    1.5997138506e+01    1.9633730765e+01    1.5998808602e+01    1.5998808602e+01    1.2382651738e+01
  39.2000000    1.5997081477e+01    1.5997081477e+01    1.9633631604e+01    1.5998709127e+01    1.5998709127e+01    1.2383033786e+01
  39.4000000    1.5997006754e+01    1.5997006754e+01    1.9633564553e+01    1.5998606974e+01    1.5998606974e+01    1.2383457553e+01
  39.6000000    1.5996911785e+01    1.5996911785e+01    1.9633521459e+01    1.5998504355e+01    1.5998504355e+01    1.2383917627e+01
  39.8000000    1.5996795281e+01    1.5996795281e+01    1.9633492744e+01    1.5998403580e+01    1.5998403580e+01    1.2384405995e+01
  40.0000000    1.5996657231e+01    1.5996657231e+01    1.9633467986e+01    1.5998306977e+01    1.5998306977e+01    1.2384912628e+01
  40.2000000    1.5996498804e+01    1.5996498804e+01    1.9633436609e+01    1.5998216802e+01    1.5998216802e+01    1.2385426243e+01
  40.4000000    1.5996322173e+01    1.5996322173e+01    1.9633388610e+01    1.5998135126e+01    1.5998135126e+01    1.2385935179e+01
  40.6000000    1.5996130270e+01    1.5996130270e+01    1.9633315273e+01    1.5998063717e+01    1.5998063717e+01    1.2386428303e+01
  40.8000000    1.5995926527e+01    1.5995926527e+01    1.9633209816e+01    1.5998003913e+01    1.5998003913e+01    1.2386895868e+01
  41.0000000    1.5995714607e+01    1.5995714607e+01    1.9633067899e+01    1.5997956495e+01    1.5997956495e+01    1.2387330243e+01
  41.2000000    1.5995498186e+01    1.5995498186e+01    1.9632887972e+01    1.5997921573e+01    1.5997921573e+01    1.2387726464e+01
  41.4000000    1.5995280779e+01    1.5995280779e+01    1.9632671409e+01    1.5997898507e+01    1.5997898507e+01    1.2388082545e+01
  41.6000000    1.5995065627e+01    1.5995065627e+01    1.9632422422e+01    1.5997885853e+01    1.5997885853e+01    1.2388399548e+01
