#       time         integral Re         integral Im         integral Re         integral Im
#       r =            16.000000           16.000000           32.000000           32.000000
  21.1000000   -6.9273690291e-04    9.6170539875e-20    3.4406499047e-04   -4.1118008899e-20
  21.2000000   -6.6222623702e-04    6.5760384878e-20    3.3304527108e-04    9.8408515385e-20
  21.3000000   -6.2868832244e-04    1.1017070850e-19    3.1630369740e-04   -1.8454901550e-20
  21.4000000   -5.9261314142e-04    9.0210146572e-20    2.9361541567e-04   -7.4109737027e-20
  21.5000000   -5.5448737588e-04    1.0687069910e-19    2.6498323324e-04   -2.0435855014e-20
  21.6000000   -5.1479024885e-04    7.0580861061e-20    2.3059744607e-04   -4.4289010105e-20
  21.7000000   -4.7398915557e-04    7.2849440862e-20    1.9078880142e-04    7.1471330175e-20
  21.8000000   -4.3253830210e-04    4.0525547558e-20    1.4597618852e-04   -3.1455954871e-20
  21.9000000   -3.9088038773e-04    2.2016506817e-20    9.6612588933e-05   -6.7267262162e-21
  22.0000000   -3.4944449273e-04    2.8592679014e-20    4.3135829689e-05    3.3478680017e-20
  22.1000000   -3.0864732202e-04    1.7575443278e-20   -1.4075511376e-05    1.5169850445e-21
  22.2000000   -2.6889250289e-04   -3.5909375897e-20   -7.4737644898e-05    4.6311991268e-20
  22.3000000   -2.3056929209e-04   -8.1046422770e-20   -1.3868102223e-04    6.1358861345e-20
  22.4000000   -1.9405091849e-04   -7.7614635117e-20   -2.0586161745e-04   -1.5308042592e-20
  22.5000000   -1.5969199128e-04   -6.2745302178e-20   -2.7635769766e-04    4.6202498931e-20
  22.6000000   -1.2782588924e-04   -9.3712410401e-20   -3.5035399454e-04   -5.7048197199e-20
  22.7000000   -9.8759730549e-05   -5.9064314418e-20   -4.2811590673e-04    7.4689467293e-20
  22.8000000   -7.2769099939e-05   -1.0767918848e-19   -5.0995112232e-04   -2.7646995072e-20
  22.9000000   -5.0093250762e-05   -1.1282199501e-19   -5.9617078548e-04    7.5611150482e-20
  23.0000000   -3.0930241140e-05   -1.2775479690e-19   -6.8702759867e-04    9.2523404155e-21
  23.1000000   -1.5431564264e-05   -1.6751517092e-19   -7.8266446430e-04   -8.3034190717e-20
  23.2000000   -3.6984185849e-06   -1.6564276123e-19   -8.8307419479e-04    2.0344501011e-20
  23.3000000    4.2209631033e-06   -2.2566696036e-19   -9.8805747774e-04    2.5393934676e-20
  23.4000000    8.3328451308e-06   -2.6865600074e-19   -1.0971878471e-03   -4.6059067991e-21
  23.5000000    8.6981141907e-06   -2.2363856036e-19   -1.2097864481e-03    2.4231913443e-20
  23.6000000    5.4307547425e-06   -2.6733048734e-19   -1.3248991053e-03   -4.3450244115e-20
  23.7000000   -1.3052332629e-06   -2.2485994940e-19   -1.4412920788e-03   -8.5628056094e-20
  23.8000000   -1.1300105598e-05   -2.4573802235e-19   -1.5574583474e-03    9.1047357667e-20
  23.9000000   -2.4304169715e-05   -2.7477837104e-19   -1.6716418847e-03   -2.8412849694e-21
  24.0000000   -4.0033976055e-05   -2.8293555698e-19   -1.7818802551e-03    1.7543154613e-20
  24.1000000   -5.8179256441e-05   -2.9444723366e-19   -1.8860397891e-03   -2.4965589175e-20
